Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5,140.6951663,378.206657,179.1165614,219.4160875,347.1652918,253.3678216,348.6247173,627.7108024,822.7316302,803.5464538,828.5719041,788.9171152,300,350,2.058823529
Albania,0,0,151.8,332,307.1,427.3,550.9,300.3,504.14,407.2,597.8,699.3,733.57,888.7485823,1160.672105,1289.704316,1359.467325,1468.02,1865.6,1717.698012,1586.574271,1552.078514,1419.772515,1281.848114,1421.007454,1290.863508,1306.009167,1311.822432,1458.210056,1472.812242,1465.987212,1718.320554,1800,9.85977213
Algeria,352.4417598,232.9902628,0,0,0,0,0,0,0,0,0,0,0,0,0,170,189,99.00456335,103.6318872,150.3369615,196.6,202.8698162,214.8412686,209.6014434,2452.442617,1997.393458,1989.023597,1791.887073,1984.998399,1785.838683,1699.608935,1759.095247,1829.459057,0.977510116
Angola,0,0,0,0,0,0,5.142,0,0,0,0,0,0,0,0,0,0,0,82.084,0.2,17.972037,0.2047511,40.34885399,36.63741134,30.97111927,11.1147116,3.98804838,1.41819584,1.57924715,3.445473468,8.053050894,12.63114932,16.42049412,0.01315808
Antigua and Barbuda,9.4,0,0,7.925925926,8.614814815,0,8.940740741,9.537037037,18.75555556,18.39444444,17.34296296,23.67666667,14.24216667,16.37223704,17.60162593,18.30548889,19.32572037,20.78328704,21.82840259,20.65871889,20.19766667,20.29261,20.85622,21.12735074,32.1,31.24441226,26.70567565,24.02004435,32.76826532,36.95542625,36.33144777,50.14202845,34.59002304,2.044327603
Argentina,0,0,15.4,57.7,62.4,63.6,65,65.7,68.5,64.3,86.34365859,189.6,206.63,273.42,311.78,432.09,540.7,606.4989265,705.1444034,628.5423761,644.3007401,697.3795751,577.5329621,535.0044094,505.3468917,494.4335321,391.5790477,479.9374598,522.441503,561.3984447,651.0206158,911.5915941,966.2870897,0.153209157
Armenia,0,0,0,0.2,11.12,71.35,153.73,228.9864,166.64797,182.652132,182.16,209.24,263.89,335.86,787.51951,915.2311618,1169.173063,1644.375091,1904.067123,1439.809232,1669.336819,1798.624692,1914.983997,2192.193827,2078.618315,1491.475903,1382.330887,1538.655752,1487.814908,1527.937457,1327.006085,1610.171649,3350,18.93404171
Aruba,0,1.731843575,1.731843575,2.402234637,3.631284916,1.340782123,1.620111732,1.843575419,1.620111732,0.608938547,1.083798883,1.335195531,1.329608939,0.273743017,1.458100559,0.819846096,1.036166002,5.195530726,6.759776536,9.05027933,4.972067039,5.30726257,4.860335196,6.337950838,7.465211173,8.083713408,52.7,56.14034016,36.92029545,34.26401827,34.98404042,35.97563477,44.19160843,1.262978235
Australia,353.4439973,343.6667935,360.2979406,347.3202724,394.018766,438.9,517.8944237,538.7478222,501.5852572,531.8124238,518.3340529,486.7446858,465.722534,651.5721451,824.7291012,940.4077666,1014.841491,1341.851616,1526.025147,1334.648953,1864.472761,2449.287569,2405.316867,2442.450025,2329.656677,2174.65138,2056.844753,2001.928453,1861.417361,1752.198311,1186.9727,922.279965,736.6923218,0.042712075
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313.507128,2517.2,2915.622152,3189.808743,3101.681749,2983.488446,3250.804926,3028.188699,3261.505684,3239.901779,2863.606817,2887.576591,2956.934246,3022.591419,2966.978811,3000.359718,3167.048409,2700,0.576866376
Azerbaijan,0,0,0,0,0,3,0,0,6.294,54.492,57.132,104.125,163.317,155.957,203.578,623.235,790.214,1267.735,1518.327,1254.645,1410.296,1893.08,1990.18,1733.2,1846.424,1269.964,643.148,1133.371,1225.79,1275.168755,1403.087,1526.636,2150,3.068535381
Bangladesh,778.8655744,769.3657068,911.7599711,1007.375043,1150.881239,1201.664267,1344.661209,1526.499544,1605.786652,1806.794192,1967.528858,2104.551469,2858.05777,3191.664732,3583.817228,4314.5,5427.515429,6562.316322,8940.611606,10520.65301,10850.21162,12071.07318,14119.62703,13866.95402,14987.53148,15295.53609,13574.28589,13501.93303,15566.24193,18363.85953,21751.64648,22202.91778,21000,4.557776326
Belarus,0,0,0,0.4,0.4,28.5,93.3,46.5,53.9,62,114.2,67.2,80.6,164.1,239.4,198.6,268.2,288.3,583.3,503.8,575.3,890.6,1053.1,1213.5,1231.3,931.5,976.6,1253.8,1445.8,1418.8,1013.7,1136.746556,1350,1.693766938
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,4534.638939,5778.136096,6562.530149,6884.305724,7268.88491,8991.846091,10479,11090.65144,10993.66927,11728.5489,11171.45238,11695.0855,12161.00327,10464.91232,10786.36068,11435.49732,12448.56909,12178.11895,12693.50898,15883.12373,13500,2.290111299
Belize,18.45,15.6,19.75,16.5,12.968,13.8965,17.25,22.7,23.4,24.41690432,24.868381,28.39788521,26.83616372,32.15107973,33.65012854,44.69332284,63.81195079,73.11926319,76.48900331,78.5784016,78.13456959,75.4,75.94564669,74.40171037,80.33441762,84.74407454,96.67100668,90.2145163,92.51273878,96.81675012,120.6836194,135.359897,142.1278918,5.311206721
Benin,93.70363385,116.1981468,135.1734353,107.834517,88.40126963,98.93229636,84.91798187,70.10647113,89.17847571,75.0544277,85.87625312,83.06416112,76.10781802,55.40117709,63.11701027,146.9393479,195.6737861,240.7937334,207.8632094,126.4572223,139.5691205,172.1,207.7635552,248.8005337,304.6591734,214.4495795,221.726215,195.7768339,198.742396,216.9931452,204.6239165,204.2858956,208.8249796,1.190089358
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.933039377,3.548930805,4.866701168,8.273480865,10.460534,18.14473043,11.80428371,14.29234289,19.65650792,34.34345666,43.15382843,58.1485158,56.65876294,83.43518259,57.68718,55,2.031769487
Bolivia,3.8,2.9,3.2,3.2,3.3,5.4,10.7,84.9,88.4,96,126.87,135.28,112.9,158.1664133,210.5586685,337.0400567,602.9740707,1055.366582,1134.718447,1057.93,960.2127468,1042.996647,1110.532147,1201.339479,1177,1190.958194,1246.634759,1407.996989,1388.281654,1335.620197,1126.51792,1417.100383,1402.929379,3.230248853
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,1984.050244,1872.783886,1580.952511,1500.016857,1495.729519,1738.096326,2053.201662,2037.731948,2148.940834,2686.5,2717.663874,2127.033059,1822.304847,1958.2302,1845.715377,1957.98747,2107.139725,1801.111958,1845.995097,2016.872695,2262.876954,2332.570551,1910.737573,2374.467959,2400,10.13470715
Botswana,81.26996868,78.94906071,86.83596203,64.54608297,63.39756962,55.33497984,43.25857175,40.9259616,36.25588043,26.36020353,18.54087011,17.90769966,19.0733971,27.30931376,78.65639314,117.7445058,103.8590066,92.19151815,46.82319634,15.20902919,22.3,20.40987829,18.10314392,36.00433594,46.12311908,30.04561957,24.62250168,38.95656147,44.3098974,59.36010414,35.61590837,57.62918397,55.61216254,0.308870661
Brazil,537,1067,1737,1161,1893,2952,2059,1586.402308,1269.915,1501.221,1349.591,1448.914,2003.791,2286.68,2812.514,2805.358,3287.162,3305.694,3642.585,2889.1595,3082.8,3214.602243,2784.072055,2717.675069,2647.908513,2896.909952,2739.786527,2698.770651,2933.489276,3213.621677,3566.219438,4102.018148,5045,0.266267942
Bulgaria,0,0,0,0,0,0,41.5,50.6,50.67583324,42.52801977,58.23545135,826.2003096,1176.951497,1718.485429,1722.769585,1612.912427,1716.435981,1693.553171,1918.650334,1591.794628,1332.9,1483.19,1448.88,1666.96,1684.74,1494.74,1665.57,2193.59,2408.23,2342.37,954.92,786.06,850,0.999905891
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6648196,67.99628178,84.43617413,99.7421432,96.37387586,120.4621891,221.1,209.9807444,308.4695202,396.3080407,384.9856164,397.3738925,416.8392431,455.6500922,467.2518417,524.6081048,560.55,588.5775,3.221904423
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041783995,0.1,0.011470972,0.189948941,3.645216677,28.23214776,34.49892951,45.46317687,46.43364909,48.6394739,56.26259143,51.04108726,31.27605824,33.72535865,48.32863178,0,0,48,49.8930224,1.353581725
Cabo Verde,59.14038478,62.36653052,76.01299174,76.49136233,85.45364255,105.8608605,100.3497133,76.41655636,73.74155705,79.71558375,89.76116615,80.95417113,85.02168169,108.4449356,113.4278326,136.6925986,136.5732084,138.7936763,155.0359908,135.620281,130.9098745,176.8750196,177,175.9183354,196.9818646,200.9035178,211.3738292,216.552202,234.507467,241.3142839,245.8003631,312.105153,374.5261836,18.24287304
