Outward remittance flows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,%GDP_2021
Angola,150.0,124.5,121.637,132.9,148.9,209.546,173.802,179.95,201.65,263.07,266.29,216.06,223.50795912,229.84996999999998,296.0095912,214.9052159,412.66678497,602.6714512799999,669.453676,716.0,714.458886,564.261541640106,2051.320868263263,2395.9658557973194,2746.6158731854075,1252.9090116900002,1176.11031356,961.4152762399999,681.6270154922674,549.0820425510593,576.4714367789888,445.40014382405803,0.5924528709134971
Argentina,0.0,0.0,142.8,163.10000000000002,176.6,195.20000000000002,207.29999999999998,231.70000000000002,246.5,250.3,267.7,256.09999999999997,119.55000000000001,180.41,234.47000000000003,314.01,356.5,463.19209727043307,631.436069113049,766.5715483081789,1037.765445694394,1137.05450560572,979.2059223331753,887.8034865611369,732.4145571459818,685.0013659142787,769.2420579867332,1060.484529955312,1010.3755356443319,694.8990630521067,545.1515252350846,588.5597441915966,0.12092815402270722
Australia,601.367466962332,522.6171286336405,457.80604958798176,441.5629340398448,487.6955221575963,570.2,728.1777537769644,771.0925380146127,796.7006728732041,870.8548033883096,868.990623794047,855.0783674215286,991.4884924146961,1380.8071378144095,1608.9665095388423,1531.0792164499176,2051.2272194533475,2980.8708740737566,3366.427026749123,3224.4011816774973,4655.461396622254,6597.638171474064,7084.418881546252,7253.781716439253,6953.239775091641,6037.610106728199,6179.374297708557,6793.253706781762,7267.729293558821,7439.097688915976,4358.562385292666,3804.2128168561417,0.23263728390105162
"Bahamas, The",38.7,49.5,28.8,27.3,28.0,31.7,33.2,36.800000000000004,39.3,47.1,56.17,53.62,57.66973,62.75,71.39,83.96435,100.28999999999999,94.99000000000001,65.92482,63.34,88.03999999999999,119.727,139.704,138.725,150.8192409824,178.8001407306,193.8485178571,262.3281674932,210.70145042809997,206.89999999999998,235.46849352000152,246.1343280200017,2.1958633956642135
Belize,7.15,5.7,6.0,6.0,6.5685,6.8815,6.875,7.55,6.8999999999999995,5.9721245000000005,6.435358715,16.029825407301963,16.651088771768524,19.74950896578509,18.013818139463524,19.332237978542018,20.60862833764989,21.45497541592177,27.977571046178973,22.50892220453628,21.99180770542831,23.5,26.32684622594624,31.523217674276836,33.26979750727424,41.16136053044011,45.20222080037393,45.60761989013333,42.97910073585681,41.88105182840853,42.407418735984116,41.69320535536964,1.7185987368247997
Benin,20.687581535308553,20.727602966869217,21.149125073485127,21.45869701684793,23.251784613878083,26.484507040424397,33.615322657814936,17.064455446480906,29.877018359554608,5.9368939435672585,8.90161784217862,10.267645664645848,6.648280332340047,5.247479748418453,5.6377500160204015,33.54143101899371,60.845024603029415,107.68777461829701,74.61434284421469,70.22849642535641,63.44050931184026,61.6,87.74193291895465,101.06251875772496,144.36322397077197,98.21693345740935,88.13669440922433,72.94619416731862,94.45884334432832,87.49744653695154,92.06308858809457,100.18432866215201,0.5660451362345444
Bolivia,7.7,8.6,8.9,9.5,9.8,9.2,13.0,12.0,15.1,32.1,37.0,36.38,37.88,45.781410246114504,50.586782926162854,66.71982004045,73.240336466,78.912289447,105.88344960071571,103.47,101.7840717,117.2585635394641,147.11267228584856,172.15881423779308,180.10000000000002,210.17574352140522,222.25046434047852,232.927804367505,251.81564331512732,275.4215737365872,215.67993157125693,293.7313824572384,0.721645535850523
Botswana,117.98120452807763,117.92892276084251,139.2124565997938,131.4445487655149,145.3078255583465,198.93899204244008,86.3667312102472,119.01620574327389,117.72766855660832,122.26463557586258,133.94112718429307,129.09197255232027,129.6161509742076,185.58891777224042,99.20036927884108,107.03290174427127,97.41008181397186,98.64607420096134,57.5615679031087,59.50369164933872,99.80000000000001,122.3114870091032,124.13050902489894,97.48926438696316,105.39685746498583,94.7421117026077,80.44798079588482,81.24653489425,63.43891056939022,99.40376084786875,163.60299818263258,236.6465837716181,1.3435141578949592
Brazil,11.0,21.0,34.0,198.0,250.0,336.0,396.0,360.317,361.644,306.805,338.325,344.83299999999997,329.421,295.98,339.49300000000005,373.953,529.306,562.634,813.083,730.8960999999999,1023.6999999999999,1123.8171215799998,1063.6708867900002,1150.18900834,1538.77589725,1339.08689017,1385.07600647,2238.14084416,2253.24743004,2231.58319817,1607.7873522099999,1755.08176344,0.10914144591313865
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2257320647701,96.97567354830451,353.78165980078955,375.5746789328789,405.46649367827877,430.2853466496893,420.3601590495743,444.81743855759265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.149953862664402,10.418163014293913,0.07438357142862997
